title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable land.netAtmosLandC13Flux.tavg-u-hxy-lnd.mon.GLB (Emon.netAtmosLandC13Flux),959,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/959,mon land CMIP6 do-not-produce,netAtmosLandC13Flux_tavg-u-hxy-lnd,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_all_land_processes,,area: areacella,area: mean where land time: mean,"Flux of carbon 31as carbon dioxide into the land. This flux should be reproducible by differencing the sum of all carbon pools (cVeg, cLitter, cSoil, and cProducts or equivalently cLand) from one time step to the next, except in the case of lateral transfer of carbon due to harvest, riverine transport of dissolved organic and/or inorganic carbon, or any other process (in which case the lateral_carbon_transfer_over_land term, see below, will be zero data).-",longitude latitude time,mon,Net Mass Flux of 13C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],land,down,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nep.tavg-u-hxy-lnd.mon.GLB (Emon.nep),958,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/958,mon land CMIP6,nep_tavg-u-hxy-lnd,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,"""comment"" was ""Natural flux of CO2 (expressed as a mass flux of carbon) from the atmosphere to the land calculated as the difference between uptake associated will photosynthesis and the release of CO2 from the sum of plant and soil respiration and fire. Positive flux is into the land. Emissions from natural fires and human ignition fires as calculated by the fire module of the dynamic vegetation model, but excluding any CO2 flux from fire included in fLuc (CO2 Flux to Atmosphere from Land Use Change).""; ; ""long_name"" was ""Net Carbon Mass Flux out of Atmosphere due to Net Ecosystem Productivity on Land [kgC m-2 s-1]"";",area: areacella,area: mean where land time: mean,Net Ecosystem Exchange,longitude latitude time,mon,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],land,down,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.necbLut.tavg-u-hxy-multi.mon.GLB (Emon.necbLut),957,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/957,mon land CMIP6,necbLut_tavg-u-hxy-multi,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,,area: areacella,area: time: mean where sector,"Computed as npp minus heterotrophic respiration minus fire minus C leaching minus harvesting/clearing. Positive rate is into the land, negative rate is from the land. Do not include fluxes from anthropogenic product pools to atmosphere",longitude latitude landuse time,mon,Net Carbon Mass Flux into Land-Use Tile [kgC m-2 s-1],land,down,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nVeg.tavg-u-hxy-lnd.mon.GLB (Emon.nVeg),956,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/956,mon land CMIP6 UKESM1 approved,nVeg_tavg-u-hxy-lnd,vegetation_mass_content_of_nitrogen,,area: areacella,area: mean where land time: mean,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,longitude latitude time,mon,Nitrogen Mass in Vegetation,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,"m01s19i137[lbtim_ia=240,lbproc=128]","m01s19i137[lbtim_ia=240,lbproc=128]",,,kg m-2,,
Variable land.nStem.tavg-u-hxy-lnd.mon.GLB (Emon.nStem),955,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/955,mon land CMIP6 UKESM1 approved,nStem_tavg-u-hxy-lnd,stem_mass_content_of_nitrogen,,area: areacella,area: mean where land time: mean,including sapwood and hardwood.,longitude latitude time,mon,Nitrogen Mass in Stem,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,"land_class_mean(m01s19i131[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg') * land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg') / m01s03i395[lbproc=128] / 100.","land_class_mean(m01s19i131[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg') * land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg') / m01s03i395[lbproc=128] / 100.",,,kg m-2,,
Variable land.nSoil.tavg-u-hxy-lnd.mon.GLB (Emon.nSoil),954,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/954,mon land CMIP6 UKESM1 approved,nSoil_tavg-u-hxy-lnd,soil_mass_content_of_nitrogen,,area: areacella,area: mean where land time: mean,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,longitude latitude time,mon,Nitrogen Mass in Soil Pool,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,"m01s19i145[lbtim_ia=240,lbproc=128]","m01s19i145[lbtim_ia=240,lbproc=128]",,,kg m-2,,
Variable land.nRoot.tavg-u-hxy-lnd.mon.GLB (Emon.nRoot),953,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/953,mon land CMIP6 UKESM1 approved,nRoot_tavg-u-hxy-lnd,root_mass_content_of_nitrogen,,area: areacella,area: mean where land time: mean,including fine and coarse roots.,longitude latitude time,mon,Nitrogen Mass in Roots,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,"land_class_mean(m01s19i133[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg') * land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg') / m01s03i395[lbproc=128] / 100.","land_class_mean(m01s19i133[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg') * land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg') / m01s03i395[lbproc=128] / 100.",,,kg m-2,,
Variable land.nProduct.tavg-u-hxy-lnd.mon.GLB (Emon.nProduct),952,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/952,mon land CMIP6,nProduct_tavg-u-hxy-lnd,nitrogen_mass_content_of_forestry_and_agricultural_products,,area: areacella,area: mean where land time: mean,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,longitude latitude time,mon,Nitrogen Mass in Products of Land-Use Change,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nOther.tavg-u-hxy-lnd.mon.GLB (Emon.nOther),951,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/951,mon land CMIP6 do-not-produce,nOther_tavg-u-hxy-lnd,miscellaneous_living_matter_mass_content_of_nitrogen,,area: areacella,area: mean where land time: mean,"E.g. fruits, seeds, etc.",longitude latitude time,mon,"Nitrogen Mass in Vegetation Components Other than Leaves, Stem and Root",land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nMineralNO3.tavg-u-hxy-lnd.mon.GLB (Emon.nMineralNO3),950,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/950,mon land CMIP6,nMineralNO3_tavg-u-hxy-lnd,soil_mass_content_of_inorganic_nitrate_expressed_as_nitrogen,,area: areacella,area: mean where land time: mean,SUM of nitrate over all soil layers,longitude latitude time,mon,Mineral Nitrate in the Soil,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nMineralNH4.tavg-u-hxy-lnd.mon.GLB (Emon.nMineralNH4),949,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/949,mon land CMIP6,nMineralNH4_tavg-u-hxy-lnd,soil_mass_content_of_inorganic_ammonium_expressed_as_nitrogen,,area: areacella,area: mean where land time: mean,SUM of ammonium over all soil layers,longitude latitude time,mon,Mineral Ammonium in the Soil,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nMineral.tavg-u-hxy-lnd.mon.GLB (Emon.nMineral),948,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/948,mon land CMIP6 UKESM1 approved,nMineral_tavg-u-hxy-lnd,soil_mass_content_of_inorganic_nitrogen_expressed_as_nitrogen,,area: areacella,area: mean where land time: mean,"SUM of ammonium, nitrite, nitrate, etc over all soil layers",longitude latitude time,mon,Mineral Nitrogen in the Soil,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,"m01s19i146[lbtim_ia=240,lbproc=128]","m01s19i146[lbtim_ia=240,lbproc=128]",,,kg m-2,,
Variable land.nLitterSubSurf.tavg-u-hxy-lnd.mon.GLB (Emon.nLitterSubSurf),947,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/947,mon land CMIP6,nLitterSubSurf_tavg-u-hxy-lnd,subsurface_litter_mass_content_of_nitrogen,"""comment"" was ""'Content' indicates a quantity per unit area. 'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Subsurface litter' means the part of the litter mixed within the soil below the surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."";",area: areacella,area: mean where land time: mean,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Subsurface litter"" means the part of the litter mixed within the soil below the surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material.",longitude latitude time,mon,Nitrogen Mass in Below-Ground Litter (non CWD),land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nLitterCwd.tavg-u-hxy-lnd.mon.GLB (Emon.nLitterCwd),946,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/946,mon land CMIP6,nLitterCwd_tavg-u-hxy-lnd,wood_debris_mass_content_of_nitrogen,"""comment"" was ""'Content' indicates a quantity per unit area. 'Wood debris' means dead organic matter composed of coarse wood. It is distinct from fine litter. The precise distinction between 'fine' and 'coarse' is model dependent. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."";",area: areacella,area: mean where land time: mean,"""Content"" indicates a quantity per unit area. ""Wood debris"" means dead organic matter composed of coarse wood. It is distinct from fine litter. The precise distinction between ""fine"" and ""coarse"" is model dependent. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material.",longitude latitude time,mon,Nitrogen Mass in Coarse Woody Debris,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nLitter.tavg-u-hxy-lnd.mon.GLB (Emon.nLitter),945,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/945,mon land CMIP6,nLitter_tavg-u-hxy-lnd,litter_mass_content_of_nitrogen,,area: areacella,area: mean where land time: mean,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,longitude latitude time,mon,Nitrogen Mass in Litter Pool,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nLeaf.tavg-u-hxy-lnd.mon.GLB (Emon.nLeaf),944,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/944,mon land CMIP6 UKESM1 approved,nLeaf_tavg-u-hxy-lnd,leaf_mass_content_of_nitrogen,"""comment"" was ""'Content' indicates a quantity per unit area."";",area: areacella,area: mean where land time: mean,"""Content"" indicates a quantity per unit area.",longitude latitude time,mon,Nitrogen Mass in Leaves,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,"land_class_mean(m01s19i132[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg') * land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg') / m01s03i395[lbproc=128] / 100.","land_class_mean(m01s19i132[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg') * land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg') / m01s03i395[lbproc=128] / 100.",,,kg m-2,,
Variable land.nLand.tavg-u-hxy-lnd.mon.GLB (Emon.nLand),943,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/943,mon land CMIP6 UKESM1 approved,nLand_tavg-u-hxy-lnd,mass_content_of_nitrogen_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,,area: areacella,area: mean where land time: mean,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,longitude latitude time,mon,Total Nitrogen in All Terrestrial Nitrogen Pools,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,"m01s19i147[lbtim_ia=240,lbproc=128]","m01s19i147[lbtim_ia=240,lbproc=128]",,,kg m-2,,
Variable land.mrtws.tavg-u-hxy-lnd.mon.GLB (Emon.mrtws),942,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/942,mon land CMIP6,mrtws_tavg-u-hxy-lnd,land_water_amount,"""comment"" was ""Mass of water in all phases and in all components including soil, canopy, vegetation, ice sheets, rivers and ground water."";",area: areacella,area: mean where land time: mean,"requested for C4MIP, OCMIP/OMIP, LUMIP, ScenarioMIP, DECK, DAMIP, GeoMIP, LS3MIP, ??",longitude latitude time,mon,Terrestrial Water Storage,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.mrsolLut.tavg-d10cm-hxy-multi.mon.GLB (Emon.mrsosLut),941,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/941,mon land CMIP6 do-not-produce,mrsolLut_tavg-d10cm-hxy-multi,mass_content_of_water_in_soil_layer,,area: areacella,area: time: mean where sector,the mass of water in all phases in a thin surface layer; integrate over uppermost 10cm,longitude latitude landuse time sdepth10cm,mon,Moisture in Upper Portion of Soil Column of Land-Use Tile,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time sdepth1 CMIP7:longitude latitude landuse time sdepth10cm,",GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.mrsol.tavg-sl-hxy-lnd.mon.GLB (Emon.mrsol),940,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/940,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,mrsol_tavg-sl-hxy-lnd,mass_content_of_water_in_soil_layer,"""comment"" was ""in each soil layer, the mass of water in all phases, including ice. Reported as 'missing' for grid cells occupied entirely by 'sea'"";",area: areacella,area: mean where land time: mean,"in each soil layer, the mass of water in all phases, including ice. Reported as ""missing"" for grid cells occupied entirely by ""sea""",longitude latitude sdepth time,mon,Total Water Content of Soil Layer,land,,,GLB,kg m-2,CMIP6 CMOR variable,m01s08i223[lbproc=128],m01s08i223[lbproc=128],,m01s08i223[lbproc=128],m01s08i223[lbproc=128],,,kg m-2,,
Variable land.mrsll.tavg-sl-hxy-lnd.mon.GLB (Emon.mrsll),939,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/939,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,mrsll_tavg-sl-hxy-lnd,liquid_water_content_of_soil_layer,"""comment"" was ""in each soil layer, the mass of water in liquid phase. Reported as 'missing' for grid cells occupied entirely by 'sea'"";",area: areacella,area: mean where land time: mean,"in each soil layer, the mass of water in liquid phase. Reported as ""missing"" for grid cells occupied entirely by ""sea""",longitude latitude sdepth time,mon,Liquid Water Content of Soil Layer,land,,,GLB,kg m-2,CMIP6 CMOR variable,m01s08i223[lbproc=128] * m01s08i229[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),m01s08i223[lbproc=128] * m01s08i229[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),,m01s08i223[lbproc=128] * m01s08i229[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),m01s08i223[lbproc=128] * m01s08i229[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),,,kg m-2,,
Variable land.mrsfl.tavg-sl-hxy-lnd.mon.GLB (Emon.mrsfl),938,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/938,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,mrsfl_tavg-sl-hxy-lnd,frozen_water_content_of_soil_layer,"""comment"" was ""in each soil layer, the mass of water in ice phase. Reported as 'missing' for grid cells occupied entirely by 'sea'"";",area: areacella,area: mean where land time: mean,"in each soil layer, the mass of water in ice phase. Reported as ""missing"" for grid cells occupied entirely by ""sea""",longitude latitude sdepth time,mon,Frozen Water Content of Soil Layer,land,,,GLB,kg m-2,CMIP6 CMOR variable,m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),,m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128]),,,kg m-2,,
Variable atmos.loadso4.tavg-u-hxy-u.mon.GLB (Emon.loadso4),937,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/937,mon atmos CMIP6 UKESM1 approved,loadso4_tavg-u-hxy-u,atmosphere_mass_content_of_sulfate_dry_aerosol_particles,,area: areacella,area: time: mean,The total dry mass of sulfate aerosol particles per unit area.,longitude latitude time,mon,Load of SO4,atmos,,,GLB,kg m-2,CMIP6 CMOR variable,,,,(MOLECULAR_MASS_OF_SO4 / MOLECULAR_MASS_OF_H2SO4) * (SECONDS_IN_HOUR / ATMOS_TIMESTEP) * m01s38i520[lbproc=128],(MOLECULAR_MASS_OF_SO4 / MOLECULAR_MASS_OF_H2SO4) * (SECONDS_IN_HOUR / ATMOS_TIMESTEP) * m01s38i520[lbproc=128],,,kg m-2,,
Variable land.laiLut.tavg-u-hxy-multi.mon.GLB (Emon.laiLut),936,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/936,mon land CMIP6 UKESM1 approved,laiLut_tavg-u-hxy-multi,leaf_area_index,,area: areacella,area: time: mean where sector,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,longitude latitude landuse time,mon,Leaf Area Index on Land-Use Tile,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,1,CMIP6 CMOR variable,,,,"land_use_tile_mean(m01s19i014[lbtim_ia=240,lbproc=128],m01s19i013[lbtim_ia=240,lbproc=128])","land_use_tile_mean(m01s19i014[lbtim_ia=240,lbproc=128],m01s19i013[lbtim_ia=240,lbproc=128])",,,1,,
Variable atmos.jpdftaureliqmodis.tavg-u-hxy-u.mon.GLB (Emon.jpdftaureliqmodis),935,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/935,mon atmos CMIP6 UKESM1 HadGEM3-GC31 approved,jpdftaureliqmodis_tavg-u-hxy-u,modis_cloud_area_fraction,"""standard_name"" was ""cloud_area_fraction_in_atmosphere_layer""; ; ""comment"" was ""Joint probability distribution function, giving probability of cloud as a function of optical thickness and particle size, as measured by MODIS. For liquid cloud particles."";",area: areacella,area: time: mean,"MODIS Optical Thickness-Particle Size joint distribution, liquid",longitude latitude effectRadLi tau time,mon,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid",atmos,,,GLB,%,CMIP6 CMOR variable,"jpdftaure_divide_by_mask(m01s02i468[lbproc=128], m01s02i330[lbproc=128])","jpdftaure_divide_by_mask(m01s02i468[lbproc=128], m01s02i330[lbproc=128])",,"jpdftaure_divide_by_mask(m01s02i468[lbproc=128], m01s02i330[lbproc=128])","jpdftaure_divide_by_mask(m01s02i468[lbproc=128], m01s02i330[lbproc=128])",,,1,,
Variable atmos.jpdftaureicemodis.tavg-u-hxy-u.mon.GLB (Emon.jpdftaureicemodis),934,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/934,mon atmos CMIP6 UKESM1 HadGEM3-GC31 approved,jpdftaureicemodis_tavg-u-hxy-u,modis_cloud_area_fraction,"""comment"" was ""Joint probability distribution function, giving probability of cloud as a function of optical thickness and particle size, as measured by MODIS. For cloud ice particles.""; ; ""standard_name"" was ""cloud_area_fraction_in_atmosphere_layer"";",area: areacella,area: time: mean,"MODIS Optical Thickness-Particle Size joint distribution, ice",longitude latitude effectRadIc tau time,mon,"MODIS Joint Distribution of Optical Thickness and Particle Size, Ice",atmos,,,GLB,%,CMIP6 CMOR variable,"jpdftaure_divide_by_mask(m01s02i469[lbproc=128], m01s02i330[lbproc=128])","jpdftaure_divide_by_mask(m01s02i469[lbproc=128], m01s02i330[lbproc=128])",,"jpdftaure_divide_by_mask(m01s02i469[lbproc=128], m01s02i330[lbproc=128])","jpdftaure_divide_by_mask(m01s02i469[lbproc=128], m01s02i330[lbproc=128])",,,1,,
Variable land.irrLut.tavg-u-hxy-multi.mon.GLB (Emon.irrLut),933,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/933,mon land CMIP6 do-not-produce,irrLut_tavg-u-hxy-multi,surface_downward_mass_flux_of_water_due_to_irrigation,,area: areacella,area: time: mean where sector,Mass flux of water due to irrigation.,longitude latitude landuse time,mon,"Irrigation Flux Including any Irrigation for Crops, Trees, Pasture, or Urban Lawns",land,down,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable atmos.intvaw.tavg-u-hxy-u.mon.GLB (Emon.intvaw),932,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/932,mon atmos CMIP6 UKESM1 HadGEM3-GC31 approved,intvaw_tavg-u-hxy-u,northward_atmosphere_water_transport_across_unit_distance,,area: areacella,area: time: mean,Vertically integrated Northward moisture transport (Mass_weighted_vertical integral of the product of northward wind by total water mass per unit mass),longitude latitude time,mon,Vertically Integrated Northward Moisture Transport,atmos,,,GLB,kg m-1 s-1,CMIP6 CMOR variable,m01s30i463[lbproc=128],m01s30i463[lbproc=128],,m01s30i463[lbproc=128],m01s30i463[lbproc=128],,,kg m-1 s-1,,
Variable atmos.intvadse.tavg-u-hxy-u.mon.GLB (Emon.intvadse),931,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/931,mon atmos CMIP6 UKESM1 HadGEM3-GC31 approved,intvadse_tavg-u-hxy-u,northward_atmosphere_dry_static_energy_transport_across_unit_distance,,area: areacella,area: time: mean,Vertically integrated northward dry static energy transport (cp.T +zg).v (Mass_weighted_vertical integral of the product of northward wind by dry static_energy per mass unit),longitude latitude time,mon,Vertically Integrated Northward Dry Static Energy Transport,atmos,,,GLB,MJ m-1 s-1,CMIP6 CMOR variable,SPECIFIC_HEAT_OF_DRY_AIR * m01s30i426[lbproc=128] + m01s30i423[lbproc=128],SPECIFIC_HEAT_OF_DRY_AIR * m01s30i426[lbproc=128] + m01s30i423[lbproc=128],,SPECIFIC_HEAT_OF_DRY_AIR * m01s30i426[lbproc=128] + m01s30i423[lbproc=128],SPECIFIC_HEAT_OF_DRY_AIR * m01s30i426[lbproc=128] + m01s30i423[lbproc=128],,,J m-1 s-1,,
Variable atmos.intuaw.tavg-u-hxy-u.mon.GLB (Emon.intuaw),930,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/930,mon atmos CMIP6 UKESM1 HadGEM3-GC31 approved,intuaw_tavg-u-hxy-u,eastward_atmosphere_water_transport_across_unit_distance,,area: areacella,area: time: mean,Vertically integrated Eastward moisture transport (Mass weighted vertical integral of the product of eastward wind by total water mass per unit mass),longitude latitude time,mon,Vertically Integrated Eastward Moisture Transport,atmos,,,GLB,kg m-1 s-1,CMIP6 CMOR variable,m01s30i462[lbproc=128],m01s30i462[lbproc=128],,m01s30i462[lbproc=128],m01s30i462[lbproc=128],,,kg m-1 s-1,,
Variable atmos.intuadse.tavg-u-hxy-u.mon.GLB (Emon.intuadse),929,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/929,mon atmos CMIP6 UKESM1 HadGEM3-GC31 approved,intuadse_tavg-u-hxy-u,eastward_atmosphere_dry_static_energy_transport_across_unit_distance,"""long_name"" was ""Vertically Integrated Eastward Dry Statice Energy Transport"";",area: areacella,area: time: mean,Vertically integrated eastward dry static energy transport (cp.T +zg).v (Mass_weighted_vertical integral of the product of eastward wind by dry static_energy per mass unit),longitude latitude time,mon,Vertically Integrated Eastward Dry Static Energy Transport,atmos,,,GLB,MJ m-1 s-1,CMIP6 CMOR variable,SPECIFIC_HEAT_OF_DRY_AIR * m01s30i425[lbproc=128] + m01s30i422[lbproc=128],SPECIFIC_HEAT_OF_DRY_AIR * m01s30i425[lbproc=128] + m01s30i422[lbproc=128],,SPECIFIC_HEAT_OF_DRY_AIR * m01s30i425[lbproc=128] + m01s30i422[lbproc=128],SPECIFIC_HEAT_OF_DRY_AIR * m01s30i425[lbproc=128] + m01s30i422[lbproc=128],,,J m-1 s-1,,
Variable land.hfssLut.tavg-u-hxy-multi.mon.GLB (Emon.hfssLut),928,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/928,mon land CMIP6 UKESM1 approved,hfssLut_tavg-u-hxy-multi,surface_upward_sensible_heat_flux,,area: areacella,area: time: mean where sector,"Upward sensible heat flux on land use tiles. The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.",longitude latitude landuse time,mon,Sensible Heat Flux on Land-Use Tile,land,up,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,W m-2,CMIP6 CMOR variable,,,,"land_use_tile_mean(m01s03i290[lbproc=128],m01s19i013[lbtim_ia=240,lbproc=128])","land_use_tile_mean(m01s03i290[lbproc=128],m01s19i013[lbtim_ia=240,lbproc=128])",,,W m-2,,
